text,replyToSN,screenName,retweetCount,isRetweet
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,crunchygoodness,4911,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,MarysiaT,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,blk_LM,3881,TRUE
"RT @BetteMidler: A great, coherent, actually #hopefulTownHall thanks to #JOEBIDEN.   It was such a thrill to hear intelligent questions ans…",,glennlloydscott,945,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,NinaL2009,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,SMOOTHBRIDGE,3881,TRUE
"RT @BetteMidler: A great, coherent, actually #hopefulTownHall thanks to #JOEBIDEN.   It was such a thrill to hear intelligent questions ans…",,coyle911,945,TRUE
RT @RealJamesWoods: Sharpshooter #JoeBiden: “Shoot ‘em in the leg!”  https://t.co/4sLt3Ij4tD,,Medicineman45,3232,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,MalkinJan,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,Jeccapritch,3881,TRUE
"RT @TW_nextmedia: 獨家｜拜登兒子曾訪台「神祕牽線人」曝光，密會金融高層吳敦義女兒代父現身
#拜登 #JoeBiden @JoeBiden
 #蘋果調查 #吳敦義 #대만 #台湾 #Taiwan #台灣 #中國 #china #蘋果獨家 #蘋果新聞網 #appl…",,Burke1428,27,TRUE
"RT @F_Rossi_: #JoeBiden, durante #TownHallABC, ha sostenuto che una bambina di 8 anni sia in grado di decidere sul fatto di essere transgen…",,giancarlobak,4,TRUE
RT @LevinaNeythiri: This is how #JoeBiden hurt #ISRO. 👇There were back to back attempts to sabotage ISRO’s projects. My video about—Joe Bid…,,A31X64Vijay,433,TRUE
So the story was #HunterBiden was hired by and put on the #Burisma Board to help with corporate governance.  Yet du… https://t.co/hg9afrRvGq,,PatriotCatArmy1,0,FALSE
@MarkDice @JoeBiden A fraud who sold his office to enrich his family and himself. #JoeBiden is a garden variety gan… https://t.co/MvfDExNUUB,MarkDice,p_hdb,1,FALSE
When will the mass media come on the scene? #JoeBiden's son admits that his father took money he received from Ukra… https://t.co/Wc62xFgJDb,,Krull123l,0,FALSE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,PopzAndz,3881,TRUE
