text,replyToSN,screenName,retweetCount,isRetweet
@GOPChairwoman @realDonaldTrump No problem. Our @POTUS knew how to deal with the Fake News show. The sleepy one cou… https://t.co/dHdz47qIu6,GOPChairwoman,escuchamiRADIO,0,FALSE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,PowerSource1,1962,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,91G6E0PgmCXzrnx,24415,TRUE
RT @TheDailyEdge: We are seeing tonight why @realDonaldTrump is simply too scared to debate @JoeBiden. Joe knows his stuff. He has a grasp…,,LuieFig,572,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,michael_szumega,1962,TRUE
"RT @matteosalvinimi: Amici, chi vincerà secondo voi negli Stati Uniti??? 🇺🇸🇮🇹
#Trump2020 #MAGA #MAGA2020
#Elections2020 #VOTE https://t.co/…",,CuadradoKubo,303,TRUE
She was saying Biden 2020 according to the media. #MAGA https://t.co/wLAwnToI1H,,rabanito172,0,FALSE
"RT @BinoARealuyo: #Trump2020Landslide

Most normal people of the future will look back to our time as nothing but an anomaly, and #MAGA as…",,KathyWilke3,265,TRUE
"Tucker plays audio of Dianne Feinstein caught on hot mic at Barrett hearing https://t.co/hWggBOu3ie
We're going to… https://t.co/EJ8HRsVRGc",,freeddeplorable,0,FALSE
@KatieH97742095 #TraitorTrump makes himself look foolish because he is a fool. Also I’m lmao at all you #MAGA suppo… https://t.co/iagztU1rNo,KatieH97742095,KathiMost,0,FALSE
"#Qanon started in 2017

Jeffrey Epstein bought an island to kid rape in 1998

Politicians and Mainstream media talk… https://t.co/vRo5hhXRe4",,anthorelliBo,0,FALSE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,sarah_7770,24415,TRUE
"RT @SunshineSt8Sam: BREAKING: The books are officially closed in Florida so the numbers are set.

The biggest takeaway?

The Democrats will…",,danander11,776,TRUE
"RT @DaisyCousens: Well well, looks like my little tweet earned itself a retweet by President Trump himself! Best day ever! 😃 @realDonaldTru…",,genovese800,101,TRUE
"@LRHLLC @JeffFlake @realDonaldTrump The mindless, moronic cult members who drink the Kool-aid and promote hate, lie… https://t.co/xxTM04cil5",LRHLLC,fmontez2,0,FALSE
"@WHO study :#Remdesivir, #Lopinavir, #HCQ ,#Interferon failed in #covid19 patients ! #WTF !

Put on #Masks !… https://t.co/JDpCloX43m",WHO,humen543,1,FALSE
@PatriciaAHenso1 @realDonaldTrump @MZHemingway Does anyone see the pattern ?? Do you ? #MAGA David Pecker buddies 1 https://t.co/xgNJe7UVYA,PatriciaAHenso1,theanonymousm8t,0,FALSE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,TonyWillk,24415,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,realMaryFanning,1962,TRUE
"RT @DaisyCousens: Well well, looks like my little tweet earned itself a retweet by President Trump himself! Best day ever! 😃 @realDonaldTru…",,TheStoist,101,TRUE
@TheCreation @realDonaldTrump @MZHemingway @davereaboi Does anyone see the pattern ?? Do you ? #MAGA David Pecker b… https://t.co/1sXijJuuWR,TheCreation,theanonymousm8t,0,FALSE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,poZsNBpR2Iq0kQw,24415,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,KirstenHenning4,24415,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,Trevor90666770,24415,TRUE
@MariannaNBCNews @realDonaldTrump @JoeBiden Does anyone see the pattern ?? Do you ? #MAGA David Pecker buddy. https://t.co/DbfOFf9pfM,MariannaNBCNews,theanonymousm8t,0,FALSE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,gonbe_jisan,24415,TRUE
House Republicans want to know if https://t.co/ZCNvi7TeAr the FBI had possession of Hunter Biden’s alleged laptop d… https://t.co/hEAOiPRMUF,,IndyEnigma,2,FALSE
"RT @wildwestleft: @taragolshan THIS REALLY P*SSES ME OFF!

MY UNCLE IS A DOCTOR THERE IN THE HOTSPOT
THIS PUTS HIS LIFE IN DANGER

AND ALL…",,blondi777,26,TRUE
"RT @vanvlietdesign: I can't stop watching this, even though I'm Canadian.

What makes a people fight for their freedom?

#MAGA 🇺🇸      #MCG…",,cderbs,6,TRUE
RT @mikandynothem: Twitter and Facebook may have just helped usher in a @realDonaldTrump win in November by blatantly censoring @nypost sto…,,_ChuckKane,1829,TRUE
"RT @EdanClay: I keep looking in all those long voting lines they show on TV for #MAGA @realDonaldTrump supporters, but from what I can see…",,instantkarma23,24,TRUE
"RT @DanScavino: A great night in Miami, Florida for President Trump! Just departed the venue a few moments ago! Check out @TeamTrump for hi…",,SchaepdryverB,4552,TRUE
"RT @DanScavino: A great night in Miami, Florida for President Trump! Just departed the venue a few moments ago! Check out @TeamTrump for hi…",,SUYEI,4552,TRUE
"RT @EdanClay: I keep looking in all those long voting lines they show on TV for #MAGA @realDonaldTrump supporters, but from what I can see…",,RoseBeckley,24,TRUE
"RT @EdanClay: I keep looking in all those long voting lines they show on TV for #MAGA @realDonaldTrump supporters, but from what I can see…",,PbSULAK,24,TRUE
"Your frequent/daily #IFTTT reply @realDonaldTrump: You lost to Hillary by 3M+ votes, we know you +@GOP +Putin &amp;c co… https://t.co/LdctMSjjgR",,HolleyA,0,FALSE
"RT @mikandynothem: BREAKING!
Steve Scully indeed lied about Twitter account being hacked!
Is anyone with a brain really surprised? 
#Crooke…",,Behindt57210637,1473,TRUE
"RT @EdanClay: I keep looking in all those long voting lines they show on TV for #MAGA @realDonaldTrump supporters, but from what I can see…",,winetast3r,24,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,iKDDeuypCOZ5q2i,24415,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,CRentfro,1962,TRUE
"RT @DanScavino: A great night in Miami, Florida for President Trump! Just departed the venue a few moments ago! Check out @TeamTrump for hi…",,curiousmind1111,4552,TRUE
@DailyMail Love President Trump! #MAGA #DrainTheSwamp https://t.co/CCy3cN8Y1z,DailyMail,Catseye61972900,0,FALSE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,ebokakaso,24415,TRUE
#CommanderInChief #MAGA https://t.co/oSytCnnAfi,,TheModernNomad,0,FALSE
A Reckoning Is Afoot https://t.co/3f0sgxUaKJ for Social Media as Section 230 Lights up the Hill #ccot #dems #gop… https://t.co/xMR6g7LAJg,,IndyEnigma,1,FALSE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,thamiMgcina,24415,TRUE
RT @LouDobbs: Big Tech Bias: Lou condemns Silicon Valley executives for their relationship with the Radical Dems and their censorship of in…,,AllenElectric,609,TRUE
RT @mikandynothem: Twitter and Facebook may have just helped usher in a @realDonaldTrump win in November by blatantly censoring @nypost sto…,,TamiLee64811085,1829,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,777CHACO,24415,TRUE
"RT @BinoARealuyo: #Trump2020Landslide

Most normal people of the future will look back to our time as nothing but an anomaly, and #MAGA as…",,rsxc_,265,TRUE
